artDate,artTitle,artContent,sentence,LLM,情緒,文章分類
2024-03-25 15:59:27,問題日公布銷量會統一江湖嗎,大家都收到交車通知台灣自產值史上最佳訂單上看萬台交車模式採用特斯拉模式簡單快速家裡附近最近也開了一個展間三月份可能還沒辦法超過但是四月份應該是統一江湖了也難怪家裡社區忽然有個位子都在裝充電樁有卦嗎產能真的開得出來嗎,大家都收到交車通知台灣自產值史上最佳訂單上看萬台交車模式採用特斯拉模式簡單快速家裡附近最近也開了一個展間三月份可能還沒辦法超過但是四月份應該是統一江湖了也難怪家裡社區忽然有個位子都在裝充電樁有卦嗎產能真的開得出來嗎,"{""文章分類"": ""使用者體驗"",""情緒"": ""中性"",}",,
2024-03-26 00:29:03,情報特斯拉主控煞車失效停紅燈自動倒退撞車,嘖嘖看到這則新聞讓我想到另外這則新聞可憐的趙小蘭妹妹會不會也是開特斯拉遇到主控煞車失效自動倒退到掉湖裏溺斃呢不過死人不會講話所以一切以特斯拉自家內建的行車記錄器說了算記者洪彩綸攝影簡大程報導宜蘭有特斯拉車主控訴新買的電動車狀況連連儀表板先顯示車燈異常車廠查不出原因之後又出現停車功能失常等好幾個異常訊號甚至在停紅燈時他指控煞車失效特斯拉自動倒退嚕撞上後車,嘖嘖看到這則新聞讓我想到另外這則新聞可憐的趙小蘭妹妹會不會也是開特斯拉遇到主控煞車失效自動倒退到掉湖裏溺斃呢不過死人不會講話所以一切以特斯拉自家內建的行車記錄器說了算記者洪彩綸攝影簡大程報導宜蘭有特斯拉車主控訴新買的電動車狀況連連儀表板先顯示車燈異常車廠查不出原因之後又出現停車功能失常等好幾個異常訊號甚至在停紅燈時他指控煞車失效特斯拉自動倒退嚕撞上後車,"{""文章分類"": ""安全性方面"",""情緒"": ""負面""}",,
2024-03-27 12:54:43,情報大改款配備售價流出,其實這件事情你要是有看過車跟乘坐過就不會問了我這次出差剛好接送分別是後的回程應該是初代我只能說乘坐感受天差地遠我看至少還比老個幾年但乘坐上基本上非常安靜引擎運轉和內裝都沒什麼雜音別說跟比跟我之前開十幾年的還糟上很多駕駛艙內裝一堆有的沒有的屁噪音然後後馬達聲音非常惱人我相信新款應該好很多底盤路感很硬沒錯但晃動感不是一個舒適的狀態以後座來說其實也是普通但那台真的是糟到一個不行還不到十年的車異音大概就是二手國產車的水準之前坐過六七年的吉利沃爾沃真的是安靜舒適多了假如你是在乎行車品質真的不是什麼好選擇連最高階的開不到十年都慘成這樣了,其實這件事情你要是有看過車跟乘坐過就不會問了我這次出差剛好接送分別是後的回程應該是初代我只能說乘坐感受天差地遠我看至少還比老個幾年但乘坐上基本上非常安靜引擎運轉和內裝都沒什麼雜音別說跟比跟我之前開十幾年的還糟上很多駕駛艙內裝一堆有的沒有的屁噪音然後後馬達聲音非常惱人我相信新款應該好很多底盤路感很硬沒錯但晃動感不是一個舒適的狀態以後座來說其實也是普通但那台真的是糟到一個不行還不到十年的車異音大概就是二手國產車的水準之前坐過六七年的吉利沃爾沃真的是安靜舒適多了假如你是在乎行車品質真的不是什麼好選擇連最高階的開不到十年都慘成這樣了,"{""文章分類"": ""使用者體驗"",""情緒"": ""負面"",}",,
2024-03-27 17:26:46,新聞煥新版實車搶先登台最快,原文連結原文內容煥新版提供後輪驅動與全輪驅動雙版本標準售價自元起全輪驅動售價元起心得說明字以上首批好像五月會開始交車新的車頭銳利很多比之前好看不少這個顏色還滿像馬自達的渾動紅原文及網址連結心得或意見字不含標點符號,原文連結原文內容煥新版提供後輪驅動與全輪驅動雙版本標準售價自元起全輪驅動售價元起心得說明字以上首批好像五月會開始交車新的車頭銳利很多比之前好看不少這個顏色還滿像馬自達的渾動紅原文及網址連結心得或意見字不含標點符號,"{""文章分類"":""使用者體驗"",""情緒"":""正面"",""特點"": [""後輪驅動與全輪驅動雙版本標準售價自元起全輪驅動售價元起"",""首批好像五月會開始交車新的車頭銳利很多比之前好看不少這個顏色還滿像馬自達的渾動紅""]}",,
2024-03-27 18:55:26,新聞煥新版實車搶先登台最快,原文恕刪文長直接看圖心得萬非常香通風椅後螢幕都有前後都雙層玻璃萬款零百秒也足夠快了更重要的是續航比舊版進步很多新版萬款公里也夠誠意了再考量可能的牌照稅訂單應該會非常集中在萬款另外方向盤非常特別可能要適應一下大家覺得如何呢討論下巴,原文恕刪文長直接看圖心得萬非常香通風椅後螢幕都有前後都雙層玻璃萬款零百秒也足夠快了更重要的是續航比舊版進步很多新版萬款公里也夠誠意了再考量可能的牌照稅訂單應該會非常集中在萬款另外方向盤非常特別可能要適應一下大家覺得如何呢討論下巴,"{""文章分類"": ""使用者體驗"",""情緒"": ""正面"",}",,
2024-03-27 18:56:48,討論台灣漲電價會影響電動車銷售嗎,還行吧特斯拉的車主等超有錢的你知道哀鳳嗎手機中的霸主精品真正的果粉買哀鳳是出一隻新的就買就是一直買就對了有在管你什麼性價比嗎買特斯拉的有錢人就是這樣有新的車型上市就立刻買誰在管你什麼電價人家一個比一個有錢好嗎以上是女友在說電價漲會影響特斯拉時拎北跟她豪洨的不過應該也是事實吧買得起特斯拉怎麼會充不起電不用幫特斯拉車主擔心啦電價漲十倍都沒影響嘻嘻,還行吧特斯拉的車主等超有錢的你知道哀鳳嗎手機中的霸主精品真正的果粉買哀鳳是出一隻新的就買就是一直買就對了有在管你什麼性價比嗎買特斯拉的有錢人就是這樣有新的車型上市就立刻買誰在管你什麼電價人家一個比一個有錢好嗎以上是女友在說電價漲會影響特斯拉時拎北跟她豪洨的不過應該也是事實吧買得起特斯拉怎麼會充不起電不用幫特斯拉車主擔心啦電價漲十倍都沒影響嘻嘻,"{""文章分類"": ""性價比方面"",""情緒"": ""負面"",}",,
2024-03-28 08:19:08,新聞煥新版實車搶先登台最快,這顏色的我在上海開過一直有人說新版比較安靜懸吊比較好我個人的體驗是跟年以後的沒差異比較大的區別在外觀和內裝以及沒撥桿前車窗有雙層玻璃上一篇板友分享極速我自己試過的極速是原廠數據好像也是一樣以下是內裝差異圖排檔移到螢幕跟上方車內燈整合,這顏色的我在上海開過一直有人說新版比較安靜懸吊比較好我個人的體驗是跟年以後的沒差異比較大的區別在外觀和內裝以及沒撥桿前車窗有雙層玻璃上一篇板友分享極速我自己試過的極速是原廠數據好像也是一樣以下是內裝差異圖排檔移到螢幕跟上方車內燈整合,"{""文章分類"":""使用者體驗"",""情緒"":""中性"",}",,
2024-03-28 08:22:27,討論純電貨車的未來性,現在物流業分工蠻精細的大車運載到站點站點再用小車或是兩輪到最終收貨人手中假如你的商用車是指大車我覺得沒搞頭在車重問題上的能源效率無法達到平衡長途運輸下能源補充也是一個大問題但最後一哩路的運載我覺得是有機會的因為大多數都在市區跑動其實動力你抓個以內的反正馬達扭力低轉就有峰值有個就超可怕的這個續航配上的電池其實也是可以跑了反正不上高速公路市區大概最高就在跑這動力綽綽有餘單馬達小電池加上空間配置美國物流公司也是有投資不少這種載具台灣問題是規模不夠像那樣自己玩客製化的車隊但未來有車廠推出標準化的產品其實成本並不會太高而目前車廠也還在觀望除了外高頻率使用下小電池的壽命到底如何假如證實多數電池跑個三十萬都沒太大問題末端運輸改電車機率還是頗高的,現在物流業分工蠻精細的大車運載到站點站點再用小車或是兩輪到最終收貨人手中假如你的商用車是指大車我覺得沒搞頭在車重問題上的能源效率無法達到平衡長途運輸下能源補充也是一個大問題但最後一哩路的運載我覺得是有機會的因為大多數都在市區跑動其實動力你抓個以內的反正馬達扭力低轉就有峰值有個就超可怕的這個續航配上的電池其實也是可以跑了反正不上高速公路市區大概最高就在跑這動力綽綽有餘單馬達小電池加上空間配置美國物流公司也是有投資不少這種載具台灣問題是規模不夠像那樣自己玩客製化的車隊但未來有車廠推出標準化的產品其實成本並不會太高而目前車廠也還在觀望除了外高頻率使用下小電池的壽命到底如何假如證實多數電池跑個三十萬都沒太大問題末端運輸改電車機率還是頗高的,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",}",,
2024-03-28 14:14:35,新聞沒電特斯拉停國道中線警到場駕駛竟抱,原文連結原文內容沒電特斯拉停國道中線警到場駕駛竟抱氣球狂吸聯合報記者黃羿馨新竹即時報導多歲男子今晨時許開著特斯拉電動車行經國道號南向公里新竹竹北路段時在車道中線龜速公里慢行甚至一度停下擋路警方獲報到場查看發現男子竟抱著一顆藍色氣球狂吸且神情恍惚疑似在吸食笑氣國道警方表示全案依公共危險罪送辦並查扣該輛特斯拉未懸掛車牌部分另行裁罰據民眾提供畫面指出一輛白色未懸掛車牌的特斯拉電動車不明原因停在國中線車道上警方到場查看發現該名男子抱著一顆藍色氣球正在吸食且神情恍惚警方上前吆喝制止下車開門不要再吸了但男子依舊不予理會等待警方靠近男子還狡辯是電動車沒有電了啦隨後警方還在車上搜出一袋現金國道警方表示由於男子行為已涉嫌危險駕車占據路面影響其他車輛通行甚至妨害交通安全全案依公共危險罪嫌送辦至於男子吸食的是否為笑氣或是其他毒品已進一步釐清中至於未懸掛車牌部分警方表示將依道路交通管理處罰條例第條已領有號牌而未懸掛或不依指定位置懸掛處千百元以上萬百元以下罰鍰並禁止其行駛目前該輛特斯拉已遭警方查扣心得說明字以上可能是已經吸到啪代了麻豆傳媒那麼高調喔車牌不掛然後掛宣傳布條是趕著拍片嗎,原文連結原文內容沒電特斯拉停國道中線警到場駕駛竟抱氣球狂吸聯合報記者黃羿馨新竹即時報導多歲男子今晨時許開著特斯拉電動車行經國道號南向公里新竹竹北路段時在車道中線龜速公里慢行甚至一度停下擋路警方獲報到場查看發現男子竟抱著一顆藍色氣球狂吸且神情恍惚疑似在吸食笑氣國道警方表示全案依公共危險罪送辦並查扣該輛特斯拉未懸掛車牌部分另行裁罰據民眾提供畫面指出一輛白色未懸掛車牌的特斯拉電動車不明原因停在國中線車道上警方到場查看發現該名男子抱著一顆藍色氣球正在吸食且神情恍惚警方上前吆喝制止下車開門不要再吸了但男子依舊不予理會等待警方靠近男子還狡辯是電動車沒有電了啦隨後警方還在車上搜出一袋現金國道警方表示由於男子行為已涉嫌危險駕車占據路面影響其他車輛通行甚至妨害交通安全全案依公共危險罪嫌送辦至於男子吸食的是否為笑氣或是其他毒品已進一步釐清中至於未懸掛車牌部分警方表示將依道路交通管理處罰條例第條已領有號牌而未懸掛或不依指定位置懸掛處千百元以上萬百元以下罰鍰並禁止其行駛目前該輛特斯拉已遭警方查扣心得說明字以上可能是已經吸到啪代了麻豆傳媒那麼高調喔車牌不掛然後掛宣傳布條是趕著拍片嗎,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",}",,
2024-03-28 17:32:05,新聞雙剉咧等中製電動車將拿下歐洲逾,雙剉咧等中製電動車將拿下歐洲逾市佔率財經頻道綜合報導在比亞迪強勢來襲電動車龍頭特斯拉與電動車發展起步相對慢的雙剉咧等據項新的政策分析顯示年中國製造的電動車將佔歐洲電動車銷量逾分之其市佔率將較去年成長超過報導歐洲運輸與環境聯合會報告稱去年在歐盟銷售的電動車中約有來自中國其中法國和西班牙銷量近分之是從中國製造的電動車研究顯示隨著比亞迪等中國品牌加強全球擴張力度到年中國製造汽車在歐洲地區市佔率將提升到以上儘管在歐盟銷售的大多數電動車都來自特斯拉等西方品牌特斯拉在中國製造和輸出電動車但到年僅中國品牌就將佔據該地區市場的表示到年預料市佔將達到這項調查結果發佈之際歐盟委員會正在調查對中國電動車製造商提供的補貼以確定它們是否不公平地削弱了當地企業的利益從中國發貨的非中國品牌例如特斯拉和可能會被納入正在進行的補貼調查中根據創辦人屠樂介紹年代初中國實施的激勵措施導致新創企業激增電池產能增加為經濟實惠的電動車鋪平了道路屠樂指出歐盟和美國遠遠落後因為他們沒有價格實惠的優質電動車因為傳統汽車製造商最近才真正專注於設計和製造電動車表示歐洲需將電動車關稅從目前的提高到至少則中國的轎車和等中型電動車的價格才會比歐盟同類產品更高但緊湊型介於超小與中型之間和大型汽車仍會稍微便宜一些除了祭關稅政策外中企華奧汽車指出歐洲電動車生產真正面臨的難題是如果沒有中國電池他們就無法製造價格實惠且有利可圖的電動車因為中國在礦產開採精煉和製造方面遠遠領先於歐盟和美國為了因應將中國製造的電動車運往歐洲的政策風險特斯拉和比亞迪等中國製造商加強了在歐洲的製造力度特斯拉正在尋求擴大在德國的組裝廠而比亞迪則計劃在匈牙利建立家工廠歐盟之前不是要對中國電動汽車徵收關稅說中國政府一直在非法補貼電動汽車出口,雙剉咧等中製電動車將拿下歐洲逾市佔率財經頻道綜合報導在比亞迪強勢來襲電動車龍頭特斯拉與電動車發展起步相對慢的雙剉咧等據項新的政策分析顯示年中國製造的電動車將佔歐洲電動車銷量逾分之其市佔率將較去年成長超過報導歐洲運輸與環境聯合會報告稱去年在歐盟銷售的電動車中約有來自中國其中法國和西班牙銷量近分之是從中國製造的電動車研究顯示隨著比亞迪等中國品牌加強全球擴張力度到年中國製造汽車在歐洲地區市佔率將提升到以上儘管在歐盟銷售的大多數電動車都來自特斯拉等西方品牌特斯拉在中國製造和輸出電動車但到年僅中國品牌就將佔據該地區市場的表示到年預料市佔將達到這項調查結果發佈之際歐盟委員會正在調查對中國電動車製造商提供的補貼以確定它們是否不公平地削弱了當地企業的利益從中國發貨的非中國品牌例如特斯拉和可能會被納入正在進行的補貼調查中根據創辦人屠樂介紹年代初中國實施的激勵措施導致新創企業激增電池產能增加為經濟實惠的電動車鋪平了道路屠樂指出歐盟和美國遠遠落後因為他們沒有價格實惠的優質電動車因為傳統汽車製造商最近才真正專注於設計和製造電動車表示歐洲需將電動車關稅從目前的提高到至少則中國的轎車和等中型電動車的價格才會比歐盟同類產品更高但緊湊型介於超小與中型之間和大型汽車仍會稍微便宜一些除了祭關稅政策外中企華奧汽車指出歐洲電動車生產真正面臨的難題是如果沒有中國電池他們就無法製造價格實惠且有利可圖的電動車因為中國在礦產開採精煉和製造方面遠遠領先於歐盟和美國為了因應將中國製造的電動車運往歐洲的政策風險特斯拉和比亞迪等中國製造商加強了在歐洲的製造力度特斯拉正在尋求擴大在德國的組裝廠而比亞迪則計劃在匈牙利建立家工廠歐盟之前不是要對中國電動汽車徵收關稅說中國政府一直在非法補貼電動汽車出,"{""文章分類"": ""性價比方面"",""情緒"": ""負面"",}",,
