artDate,artTitle,artContent,sentence,LLM,情緒,文章分類
2024-01-15 14:10:25,問題電動車的定價,大家好雖然自己才剛換大排量純油車但其實也是很期待開電動車等新家好了就可裝充電樁了再兩年所以有一直再關注引入台灣的電車有哪些看了一看之後一直有一個疑惑目前市售多數平價品牌的電動車車價幾乎就可以買入門豪華品牌油車但豪華品牌的入門電動車車價跟自己同級款油車差不多舉個例子買油車的入門萬電車是萬的入門電車入門是萬入門最低只要電車萬以上除了那個特別低落在萬入門款車型的油車跟電車價差大概而已電車目前都是走比較高階性能款暫不列入然而最近剛好在臉書看到日產的廣告想說了解一下看留言處有很多人問價格小編是回具體尚未確定大概落在之間我想說靠夭有夠貴上了才發現這好像是目前多數大廠牌的訂價這個區間包含現代的特斯拉稍微便宜一點的也都要由此可以發現大多平價品牌的電動車定價都是萬以上幾乎可以買入門豪華品牌的油車了甚至捏一些上去就是入門電動車先不討論油車電車哪個爽就從車價來看在平價品牌的電動車車價都比原有的油車大概多了以上的售價舉例新頂規對比現代頂規對比頂規對比除了看起來落差比較小點點外其它都有超大幅度落差然而賓士入門款的電車價格卻都跟自己入門款油車差不到太多台灣人買車習慣多數是中階甚至直上頂規如果在電車看起來乾脆直上豪華品牌感覺更超值按照大家說法電車沒什麼需要保養的話以前常說買車容易養車難也就相對不存在養一台賓士電車可能沒有比養一台日韓系電車成本高多少我買一台萬現代日產的電動車不如買一台賓士或的當然豪華品牌可能還有可以讓你選配的東西可以選個萬但當我們只是要開電動車預算又幾乎要捏到萬我可以選擇產品更穩定的特斯拉也可以選擇品牌價值更高的雙這樣原本的日系韓系車廠電動車會有競爭力嗎反過來說如果納智捷不要有太多問題出頭萬確實有機會挑戰市場至於中國品牌電動車等到真的進來並且知道價格再說吧按照台灣玩法對岸賣一台萬台幣電動車進來至少萬起跳所以為什麼原本平價車廠的電動車這麼貴啊技術通膨還是想藉由電動車提高品牌價值對電動車的定價策略真的感到好奇,大家好雖然自己才剛換大排量純油車但其實也是很期待開電動車等新家好了就可裝充電樁了再兩年所以有一直再關注引入台灣的電車有哪些看了一看之後一直有一個疑惑目前市售多數平價品牌的電動車車價幾乎就可以買入門豪華品牌油車但豪華品牌的入門電動車車價跟自己同級款油車差不多舉個例子買油車的入門萬電車是萬的入門電車入門是萬入門最低只要電車萬以上除了那個特別低落在萬入門款車型的油車跟電車價差大概而已電車目前都是走比較高階性能款暫不列入然而最近剛好在臉書看到日產的廣告想說了解一下看留言處有很多人問價格小編是回具體尚未確定大概落在之間我想說靠夭有夠貴上了才發現這好像是目前多數大廠牌的訂價這個區間包含現代的特斯拉稍微便宜一點的也都要由此可以發現大多平價品牌的電動車定價都是萬以上幾乎可以買入門豪華品牌的油車了甚至捏一些上去就是入門電動車先不討論油車電車哪個爽就從車價來看在平價品牌的電動車車價都比原有的油車大概多了以上的售價舉例新頂規對比現代頂規對比頂規對比除了看起來落差比較小點點外其它都有超大幅度落差然而賓士入門款的電車價格卻都跟自己入門款油車差不到太多台灣人買車習慣多數是中階甚至直上頂規如果在電車看起來乾脆直上豪華品牌感覺更超值按照大家說法電車沒什麼需要保養的話以前常說買車容易養車難也就相對不存在養一台賓士電車可能沒有比養一台日韓系電車成本高多少我買一台萬現代日產的電動車不如買一台賓士或的當然豪華品牌可能還有可以讓你選配的東西可以選個萬但當我們只是要開電動車預算又幾乎要捏到萬我可以選擇產品更穩定的特斯拉也可以選擇品牌價值更高的雙這樣原本的日系韓系車廠電動車會有競爭力嗎反過來說如果納智捷不要有太多問題出頭萬確實有機會挑戰市場至於中國品牌電動車等到真的進來並且知道價格再說吧按照台灣玩法對岸賣一台萬台幣電動車進來至少萬起跳所以為什麼原本平價車廠的電動車這麼貴啊技術通膨還是想藉由電動車提高品牌價值對電動車的定價策略真的感到好奇,"{""文章分類"": ""性價比方面"",""情緒"": ""負面"",}",,
2024-01-16 14:20:45,情報特斯拉缺陷一次爆開租車巨頭不敢買了,結果國外有人的推特踢爆出售的舊車裡面特斯拉只佔多數還是傳統車廠的油車完全不符合之前新聞報導以及板友推測要棄特斯拉回去油車的趨勢電車目前在提供能租的車裡占特斯拉是其中的結果汰換掉的只有表示依然在追求電車化汰換油車占多數,結果國外有人的推特踢爆出售的舊車裡面特斯拉只佔多數還是傳統車廠的油車完全不符合之前新聞報導以及板友推測要棄特斯拉回去油車的趨勢電車目前在提供能租的車裡占特斯拉是其中的結果汰換掉的只有表示依然在追求電車化汰換油車占多數,"{""文章分類"": ""性價比方面"",""情緒"": ""負面"",}",,
2024-01-16 18:51:49,討論為啥連公部門都不支持國產車品牌了,話說之前剛出來的時候公家機關常常買車都從三菱轉買不管哪個公家機關到處都能看到的身影但是近年來說公家機關開始轉向或是中華汽車甚至連特斯拉都有看到過為啥連公部門都不支持國產車品牌了,話說之前剛出來的時候公家機關常常買車都從三菱轉買不管哪個公家機關到處都能看到的身影但是近年來說公家機關開始轉向或是中華汽車甚至連特斯拉都有看到過為啥連公部門都不支持國產車品牌了,"{""文章分類"":""性價比方面"",""情緒"":""負面"",}",,
2024-01-16 21:54:46,情報各品牌汽車緩撞車事故新聞總整理,版友鄉民櫻木大知識家整理的各品牌緩撞車事故新聞總整恭喜前三名第三名吉利沃爾沃次第二名福特車學院次最後是第一名牌我就知道你最爛次累積全年各車輛事故總次數次其中新聞資訊提到跟輔助駕駛的一共次,版友鄉民櫻木大知識家整理的各品牌緩撞車事故新聞總整恭喜前三名第三名吉利沃爾沃次第二名福特車學院次最後是第一名牌我就知道你最爛次累積全年各車輛事故總次數次其中新聞資訊提到跟輔助駕駛的一共次,"{""文章分類"": ""安全性方面"",""情緒"": ""負面""}",,
2024-01-17 07:31:42,新聞燃油車需求已見頂,原文連結原文內容燃油車需求已見頂德國豪華車廠寶馬表示旗下燃油車款的需求在去年已見頂預計未來的成長將由純電動車款驅動彭博資訊報導財務長梅特說目前電池電動車的訂單滿手目標是今年銷售萬輛電動車占整體出貨量約儘管美國和部分歐洲國家的電動車銷售成長趨緩但在電動轎車等車款的帶動下去年電動車銷售激增梅特說鑒於減碳法規限縮成長動能內燃機引擎的轉捩點在去年浮現未來的銷量成長將主要來自電動車他指出去年月的電動車訂單強勁歐洲需求料將持續成長他說電動車需求未見衰減預期新款轎車和新推的品牌電動車將刺激銷量燃油車銷售將保持在高原期然後稍微下降不過電動車出貨量每年激增好幾年後未來需求的加速步伐已沒那麼明朗雖然電動車市規模持續擴大但車廠已面臨諸多挑戰包括特斯拉發動的價格戰以及許多消費者因為售價高昂與缺乏充電基礎設施繼續持觀望態度福特通用等車廠已縮減宏遠的電動車規畫的對手奧迪上月也說正減少將推出的電動車款在需求降溫之際減輕工廠和經銷商的負擔電動車占奧迪總銷量落後於的心得說明字以上其實純電越來越多也好受限於充電設施的普及跟充電效率終究不可能很高量的取代但如果未來油電可達七三比的話應該很不錯,原文連結原文內容燃油車需求已見頂德國豪華車廠寶馬表示旗下燃油車款的需求在去年已見頂預計未來的成長將由純電動車款驅動彭博資訊報導財務長梅特說目前電池電動車的訂單滿手目標是今年銷售萬輛電動車占整體出貨量約儘管美國和部分歐洲國家的電動車銷售成長趨緩但在電動轎車等車款的帶動下去年電動車銷售激增梅特說鑒於減碳法規限縮成長動能內燃機引擎的轉捩點在去年浮現未來的銷量成長將主要來自電動車他指出去年月的電動車訂單強勁歐洲需求料將持續成長他說電動車需求未見衰減預期新款轎車和新推的品牌電動車將刺激銷量燃油車銷售將保持在高原期然後稍微下降不過電動車出貨量每年激增好幾年後未來需求的加速步伐已沒那麼明朗雖然電動車市規模持續擴大但車廠已面臨諸多挑戰包括特斯拉發動的價格戰以及許多消費者因為售價高昂與缺乏充電基礎設施繼續持觀望態度福特通用等車廠已縮減宏遠的電動車規畫的對手奧迪上月也說正減少將推出的電動車款在需求降溫之際減輕工廠和經銷商的負擔電動車占奧迪總銷量落後於的心得說明字以上其實純電越來越多也好受限於充電設施的普及跟充電效率終究不可能很高量的取代但如果未來油電可達七三比的話應該很不錯,"{""文章分類"": ""性價比方面"",""情緒"": ""負面"",}",,
2024-01-17 14:25:39,電車特斯拉電池是否是假議題,影片最後有說明這個電車頻道主持人年的現在里程萬多即將過保版本電池保固萬公里他打算萬賣車價當初是買萬不含選色的現在市價約萬他要賣萬算有自知之明因為換一顆版本較小顆容量費用約萬自己先扣掉換大電池的萬再出來賣市價萬換電池萬賣價萬以這案例開年多萬公里的真實成本在車價減損部份是萬大致符合我上一篇的計算推估那特粉會說市價萬他可賣萬我你先買新車保固蜜月期間確實會有感省錢換車賣車時也是有感噴錢,影片最後有說明這個電車頻道主持人年的現在里程萬多即將過保版本電池保固萬公里他打算萬賣車價當初是買萬不含選色的現在市價約萬他要賣萬算有自知之明因為換一顆版本較小顆容量費用約萬自己先扣掉換大電池的萬再出來賣市價萬換電池萬賣價萬以這案例開年多萬公里的真實成本在車價減損部份是萬大致符合我上一篇的計算推估那特粉會說市價萬他可賣萬我你先買新車保固蜜月期間確實會有感省錢換車賣車時也是有感噴錢,"{""文章分類"": ""性價比方面"",""情緒"": ""正面"",}",,
2024-01-17 14:40:25,討論芝加哥暴風雪低溫大量特斯拉卡在超充,美國中西部暴風雪這周氣溫低到零下近我現在就在芝加哥出差馬的冷死電視台都報導所有超充站卡了大量無法充電的特斯拉因為溫度太低電池無法充電有人說他充了五個小時車都無法啟動最後叫拖吊車來拖到室內充電站又或電池效率過低開一開就沒電去超充站結果排不到所有電樁都被無法充電無法動的車站滿我說那個加州夏天電網過載州長呼籲大家不要充電車現在來個冬天太冷無法充電這個暴風雪要冷一周等於一周沒車可用了請問如何解決補充對可以預熱但這次冷到預熱無效有人提到挪威挪威冬天約度有預熱,美國中西部暴風雪這周氣溫低到零下近我現在就在芝加哥出差馬的冷死電視台都報導所有超充站卡了大量無法充電的特斯拉因為溫度太低電池無法充電有人說他充了五個小時車都無法啟動最後叫拖吊車來拖到室內充電站又或電池效率過低開一開就沒電去超充站結果排不到所有電樁都被無法充電無法動的車站滿我說那個加州夏天電網過載州長呼籲大家不要充電車現在來個冬天太冷無法充電這個暴風雪要冷一周等於一周沒車可用了請問如何解決補充對可以預熱但這次冷到預熱無效有人提到挪威挪威冬天約度有預熱,"{""文章分類"": ""安全性方面"",""情緒"": ""負面""}",,
2024-01-17 17:20:51,問題詢問後座與後座,大家好我最近緩慢看車中目前從一路比到不過對後座有點疑慮昨天剛好有機會坐到我想詢問的後座和的後座誰椅背角度比較直我昨天叫了的計程車去內湖科辦事不得不說星選計程車特價起來比一般的計程車還只多貴一點點首先車體不晃起步非常有力坐在後座的我都可以感受到推背感可能是科技感吧第一感受很棒不過後座椅背真的有點不好坐我單趟做了分鐘喬了兩個姿勢才抓到適合的坐方式不知道有沒有人和度的後座椅背比較過誰比較直,大家好我最近緩慢看車中目前從一路比到不過對後座有點疑慮昨天剛好有機會坐到我想詢問的後座和的後座誰椅背角度比較直我昨天叫了的計程車去內湖科辦事不得不說星選計程車特價起來比一般的計程車還只多貴一點點首先車體不晃起步非常有力坐在後座的我都可以感受到推背感可能是科技感吧第一感受很棒不過後座椅背真的有點不好坐我單趟做了分鐘喬了兩個姿勢才抓到適合的坐方式不知道有沒有人和度的後座椅背比較過誰比較直,"{""文章分類"": ""使用者體驗"",""情緒"": ""負面"",}",,
2024-01-17 22:15:02,討論台灣很適合發展電動車吧,前幾篇那新聞下大雪結果電動車變成擺飾品肥肥就發現台灣四季都沒到非常極端的溫度只有北部容易下雨加上國家小小的一塊南來北往滿電都夠用電價又便宜難怪路上特斯拉越來越多電動車根本就是為了台灣發明的產物,前幾篇那新聞下大雪結果電動車變成擺飾品肥肥就發現台灣四季都沒到非常極端的溫度只有北部容易下雨加上國家小小的一塊南來北往滿電都夠用電價又便宜難怪路上特斯拉越來越多電動車根本就是為了台灣發明的產物,"{""文章分類"": ""性價比方面"",""情緒"": ""正面"",}",,
2024-01-18 16:11:26,電車今年台灣準備上市的電車,這幾天應該福斯的就會有拍片了算一下今年準備上市的純電車名單滿多的看起來是電動車爆發年嗎然後聽說鴻華跟的是下半年不知道還有哪些沒算到的,這幾天應該福斯的就會有拍片了算一下今年準備上市的純電車名單滿多的看起來是電動車爆發年嗎然後聽說鴻華跟的是下半年不知道還有哪些沒算到的,"{""文章分類"": ""車輛預售方面"",""情緒"": ""正面"",}",,
