system_id,sentence,artDate,artTitle,llm_class,sentimentValue
2,原文內容,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.25638894091173414
2,前電競世界冠軍日前開直播，雖然用自動駕駛，但雙手卻完全離開方向盤，甚至不停,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.013840012260816104
2,滑手機，遭大量網友留言罵翻，實際上這些行為，警方表示都已經違規，甚至未握方向盤,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,6.817499438627195e-05
2,▲駕駛特斯拉開直播,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.19108692663719629
2,前電競世界冠軍劉偉健這回邊開車邊開直播，結果聊天室排噓聲,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.0014300227850724267
2,劉偉健法官在看，特斯拉耶，人工智能，雙手放開雙腳放開它都會到林口，科,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.21119782710611257
2,雙手離開方向盤還開始滑手機，網友留言罵翻，還臉無所謂,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.0017952187107654893
2,劉偉健我自動導航為什麼不能看手機，我自動導航幹嘛，你有毛病是不是,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.09567531265863194
2,這是個非,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.18767506589195182
2,慘遭網友洗臉後再繼續直播特訓拳擊，分鐘時間被館長打爆，甚至最後拳讓他,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.008908681063136914
2,危險駕車邊開直播，記者去信沒有取得回應，爭議延燒再加上違規行徑，恐怕風波難以平,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.08237655160086432
2,心得說明字以上,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.18279813961255864
2,心得或意見字不含標點符號,2023-01-02,[新聞]開特斯拉「滑手機」被勸Toyz嗆網友有毛,投訴方面,0.1421413874303683
10,來到台灣被捧成神代表台灣韭菜真的很好割,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.058057073081911215
10,所以根本沒差,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.04873527861049176
10,排名車型銷量廠商售價台幣,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.08571584419014866
10,榮放汽豐田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.23105105156443495
10,逍客東風日產,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.163250974467269
10,威蘭達廣汽豐田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.22823839802047297
10,名爵上汽名爵,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.2960044879444663
10,廣汽埃安,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.2331603267179252
10,繽智廣汽本田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.09462823528964293
10,鋒蘭達廣汽豐田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.06884428077238947
10,傳祺廣汽乘用車,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.14107322118793164
10,卡羅拉銳放汽豐田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.09396273196845495
10,漢蘭達廣汽豐田,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.06884428077238947
10,捷達汽大眾捷達,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.032529936113053215
10,在大陸市占的豐田來到台灣變市佔,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.024355790318982273
10,會反對開放中國進口車的應該和粉居多,2023-01-04,Re:[新聞]和泰汽車連續21年稱霸台灣車市銷售NO.1,投訴方面,0.15810733651768116
