system_id,word,ner
2,王家珩,PERSON
2,徐兆緯,PERSON
2,台北,GPE
2,日前,DATE
2,二萬四,CARDINAL
2,劉偉健,PERSON
2,劉偉健,PERSON
2,特斯拉耶,PERSON
2,林口,GPE
2,劉偉健,PERSON
2,道路交通處罰管制條例,LAW
2,兩,CARDINAL
10,中國,GPE
10,台灣,GPE
10,台灣,GPE
10,特斯拉,ORG
10,中國,GPE
10,比亞迪,ORG
10,哈弗長城,ORG
10,長安長安汽車,FAC
10,本田東風本田,PERSON
10,元比亞迪,PERSON
10,瑞虎奇瑞,ORG
10,吉利,ORG
10,汽豐田,PERSON
10,瑞虎奇瑞,ORG
10,昂科威上汽,ORG
10,通用別克,ORG
10,途觀上汽,ORG
10,北京,GPE
10,長安長安汽車,FAC
10,威蘭達廣汽,ORG
10,豐田,PRODUCT
10,唐新能源比亞迪,ORG
10,星越,ORG
10,吉利汽車,ORG
10,皓影廣汽,ORG
10,捷途奇瑞,ORG
10,奧迪,ORG
10,博越,ORG
10,途岳上汽,ORG
10,寶馬華,ORG
10,廣汽埃安,ORG
10,瑞虎奇瑞,ORG
10,繽智廣汽本田,PRODUCT
10,本田東風本田,PERSON
10,哈弗,ORG
10,長安歐尚,ORG
10,鋒蘭達廣汽,ORG
10,豐田,PRODUCT
10,傳祺廣汽,PRODUCT
10,卡羅拉,PRODUCT
10,汽豐田,PERSON
10,榮威上汽集團,ORG
10,寶馬華,ORG
10,五菱星辰上汽,ORG
10,漢蘭達廣汽,ORG
10,豐田,PRODUCT
10,哈弗長城,ORG
10,北京,GPE
10,北京,GPE
10,長安長安汽車,FAC
10,捷達汽,ORG
10,捷達,ORG
10,瑞虎奇瑞,ORG
10,大陸,GPE
10,豐田,PRODUCT
10,台灣變市,GPE
10,中國,GPE
10,台灣,GPE
10,台灣,GPE
10,兩,CARDINAL
40,年月,DATE
40,特斯拉,ORG
40,年月,DATE
40,美國,NORP
40,舊金山,GPE
40,海灣大橋,FAC
40,美國國家公路交通安全管理局,ORG
40,/月/月,DATE
40,美國,GPE
40,特斯拉,ORG
40,今天,DATE
40,初四,DATE
54,世界日報,WORK_OF_ART
54,中國新聞組,ORG
54,北京,GPE
54,特斯拉,ORG
54,中國,GPE
54,廣州,GPE
54,特斯拉,ORG
54,廣州,GPE
54,溫,PERSON
54,特斯拉,ORG
54,萬人民幣,MONEY
54,萬約萬台幣,MONEY
54,二,CARDINAL
54,中國汽車流通協會,ORG
54,近日,DATE
54,年月,DATE
54,中國,GPE
54,年上半年,DATE
54,特斯拉,ORG
54,溫,PERSON
54,特斯拉,ORG
54,廣州,GPE
54,二,ORDINAL
54,特斯拉,ORG
54,特斯拉,ORG
54,溫,PERSON
54,廣州,GPE
54,特斯拉,ORG
54,台二,ORG
54,萬塊錢,MONEY
54,台二,ORG
54,萬,CARDINAL
54,兩,CARDINAL
54,三,CARDINAL
54,特斯拉頂配,ORG
54,重慶,GPE
54,南岸區,GPE
54,特斯拉,ORG
54,萬,CARDINAL
54,去年月底,DATE
54,萬到萬,CARDINAL
54,三個月,DATE
54,萬,CARDINAL
54,萬經理,PERSON
54,三個多月,DATE
54,特斯拉,ORG
54,美國,GPE
54,中國,GPE
54,美,GPE
54,台灣,GPE
76,豐田,PRODUCT
76,經濟日報,ORG
76,季晶晶,PERSON
76,金融時報,ORG
76,豐田汽車租賃業務服務部門,ORG
76,第二年,DATE
76,豐田,PRODUCT
76,豐田,ORG
76,豐田,PRODUCT
76,豐田,PRODUCT
76,豐田,PRODUCT
76,第年或次年,DATE
76,豐田,ORG
76,日本,GPE
76,美國,GPE
76,歐洲,LOC
76,中國大陸,GPE
76,豐田,PRODUCT
76,豐田,ORG
76,東海東京證券,ORG
76,豐田,PRODUCT
76,特斯拉,ORG
76,首,ORDINAL
76,半天,DATE
82,台灣,GPE
82,台灣,GPE
82,農曆春節,DATE
87,影特斯拉,GPE
87,春節,DATE
87,聯合新聞網,ORG
87,桃園市,GPE
87,黃,PERSON
87,昨天,DATE
87,開特斯拉,ORG
87,中壢區,GPE
87,弘揚路,FAC
87,李,PERSON
87,兩,CARDINAL
87,網友文,PERSON
87,今天,DATE
87,上午,TIME
87,黃,PERSON
87,昨天,DATE
87,下午,TIME
87,特斯拉,ORG
87,中壢區,GPE
87,弘揚路,FAC
87,李,PERSON
87,黃,PERSON
87,李男,PERSON
87,李黃男,PERSON
87,李男,PERSON
87,黃男,PERSON
87,李,PERSON
87,兩,CARDINAL
87,黃,PERSON
87,李,PERSON
87,兩,CARDINAL
87,新春期間,DATE
87,黃李,PERSON
87,兩,CARDINAL
87,特斯拉,ORG
87,阿,GPE
93,張宸毓,PERSON
93,美國,GPE
93,新臺幣萬,MONEY
93,新臺幣萬,MONEY
93,美國,GPE
93,年月,DATE
93,野馬,PRODUCT
