system_id,word,pos
2,原文,Na
2,連結,VC
2,////,FW
2,__,FW
2,__,FW
2,原文,Na
2,內容,Na
2,記者,Na
2,王家珩,Nb
2,徐兆緯,Nb
2,台北,Nc
2,報導,VE
2,前,Nes
2,電競,Na
2,世界,Nc
2,冠軍,Na
2,日前,Nd
2,開直,VC
2,播,VC
2,，,COMMACATEGORY
2,雖然,Cbb
2,用,P
2,自動,VH
2,駕駛,VC
2,，,COMMACATEGORY
2,但,Cbb
2,雙手,Na
2,卻,D
2,完全,D
2,離開,VC
2,方向盤,Na
2,，,COMMACATEGORY
2,甚至,D
2,不停,VH
2,滑手機,Na
2,，,COMMACATEGORY
2,遭,P
2,大量,Neqa
2,網友,Na
2,留言,VA
2,罵翻,VC
2,，,COMMACATEGORY
2,實際,VH
2,上,Ng
2,這些,Neqa
2,行為,Na
2,，,COMMACATEGORY
2,警方,Na
2,表示,VE
2,都,D
2,已經,D
2,違規,VA
2,，,COMMACATEGORY
2,甚至,D
2,未,D
2,握,VC
2,方向盤,Na
2,的,DE
2,部分,Neqa
2,屬於,VG
2,危險,VH
2,駕車,VA
2,，,COMMACATEGORY
2,最,Dfa
2,高,VH
2,可,D
2,罰,VF
2,二萬四,Neu
2,///,FW
2,▲,Na
2,駕駛,VC
2,特斯拉,Nb
2,開直,VC
2,播,VC
2,前,Nes
2,電競,Na
2,世界,Nc
2,冠軍,Na
2,劉偉健,Nb
2,這,Nep
2,回,Nf
2,邊,D
2,開車,VA
2,邊,D
2,開,VC
2,直播,VC
2,，,COMMACATEGORY
2,結果,Dk
2,聊天室,Nc
2,排噓聲,Na
2,劉偉健,Nb
2,法官,Na
2,在,P
2,看,VC
2,，,COMMACATEGORY
2,特斯拉耶,Nb
2,，,COMMACATEGORY
2,人工,Na
2,智能,Na
2,，,COMMACATEGORY
2,雙手,Na
2,放開,VC
2,雙腳,Na
2,放開,VC
2,它,Nh
2,都,D
2,會,D
2,到,VCL
2,林口,Nc
2,，,COMMACATEGORY
2,科,Nc
2,技,Na
2,的,DE
2,發達,Nv
2,可不可以,D
2,接受,VC
2,下,Ng
2,，,COMMACATEGORY
2,我,Nh
2,不,D
2,需要,VK
2,看,VC
2,前方,Ncd
2,，,COMMACATEGORY
2,也,D
2,不,D
2,需要,VK
2,握,VC
2,著,Di
2,方向盤,Na
2,雙手,Na
2,離開,VC
2,方向盤,Na
2,還,D
2,開始,VL
2,滑手機,VA
2,，,COMMACATEGORY
2,網友,Na
2,留言,Na
2,罵翻,VC
2,，,COMMACATEGORY
2,還,VD
2,臉,Na
2,無所謂,VH
2,劉偉健,Nb
2,我,Nh
2,自動,VH
2,導航,VB
2,為什麼,D
2,不能,D
2,看,VC
2,手機,Na
2,，,COMMACATEGORY
2,我,Nh
2,自動,VH
2,導航,VB
2,幹嘛,VA
2,，,COMMACATEGORY
2,你,Nh
2,有,V_2
2,毛病,Na
2,是,SHI
2,不,D
2,是,SHI
2,聊,VE
2,天室,Nc
2,叫,VF
2,你,Nh
2,乖乖,VH
2,開車,VA
2,，,COMMACATEGORY
2,你,Nh
2,又,D
2,在,P
2,那邊,Ncd
2,念,VC
2,什麼,Nep
2,，,COMMACATEGORY
2,等等,Cab
2,又,D
2,被,P
2,檢舉,VC
2,好,VH
2,，,COMMACATEGORY
2,我,Nh
2,開車,VA
2,我,Nh
2,開車,VA
2,我,Nh
2,開車,VA
2,但,Cbb
2,依照,P
2,道路,Na
2,交通,Na
2,處罰,VC
2,管制,Nv
2,條例,Na
2,，,COMMACATEGORY
2,開車,VA
2,滑手機,Na
2,可,D
2,罰,VF
2,，,COMMACATEGORY
2,就算,Cbb
2,是,SHI
2,自動,VH
2,駕駛,VC
2,，,COMMACATEGORY
2,手,Na
2,也,D
2,得,D
2,緊握,VC
2,方向,Na
2,盤，,Na
2,否則,Cbb
2,算是,VG
2,危險,VH
2,駕車,VA
2,，,COMMACATEGORY
2,最,Dfa
2,高,VH
2,可,D
2,罰,VF
2,萬,Neu
2,民眾,Na
2,當然,D
2,不,D
2,好,VH
2,啊,T
2,，,COMMACATEGORY
2,而且,Cbb
2,他,Nh
2,又,D
2,是,SHI
2,直播主,Na
2,，,COMMACATEGORY
2,就,D
2,會,D
2,比較,Dfa
2,容易,VH
2,帶動,VC
2,大家,Nh
2,模仿,VC
2,這,Nep
2,是,SHI
2,個,Nf
2,非,A
2,常,D
2,危險,VH
2,的,DE
2,事情,Na
2,，,COMMACATEGORY
2,建議,VE
2,所有,Neqa
2,追蹤,VC
2,他,Nh
2,的,DE
2,粉絲,Na
2,千萬,D
2,不要,D
2,去,D
2,學習,VC
2,，,COMMACATEGORY
2,也,D
2,不要,D
2,認為,VE
2,這,Nep
2,是,SHI
2,個,Nf
2,很,Dfa
2,好,VH
2,英雄,Na
2,主義,Na
2,的,DE
2,事情,Na
2,慘遭,P
2,網友,Na
2,洗臉,VA
2,後,Ng
2,再,D
2,繼續,VF
2,直播,VC
2,特訓,Na
2,拳擊,Na
2,，,COMMACATEGORY
2,分鐘,Nf
2,時間,Na
2,被,P
2,館長,Na
2,打爆,VC
2,，,COMMACATEGORY
2,甚至,Cbb
2,最後,Nd
2,拳,Na
2,讓,VL
2,他,Nh
2,倒地,VA
2,想不到,Dk
2,也,D
2,是,SHI
2,這,Nep
2,拳,Nf
2,，,COMMACATEGORY
2,事,Na
2,後,Ng
2,說,VE
2,館長,Na
2,公報私仇,VA
2,，,COMMACATEGORY
2,兩,Neu
2,人,Na
2,萬簽,Na
2,的,DE
2,代言,VA
2,合約,Na
2,因此,Cbb
2,破局,VH
2,但,Cbb
2,爭議,Na
2,連環,A
2,爆,VH
2,，,COMMACATEGORY
2,才,Da
2,因,Cbb
2,販毒,VA
2,被,P
2,判刑,VB
2,，,COMMACATEGORY
2,甚至,D
2,還,D
2,被,P
2,人,Na
2,爆料,VE
2,詐賭,VA
2,，,COMMACATEGORY
2,現在,Nd
2,又,D
2,惹火,VH
2,館長,Na
2,，,COMMACATEGORY
2,最,Dfa
2,誇張,VHC
2,還,D
2,危險,VH
2,駕車,VA
2,邊,Ncd
2,開直,VA
2,播,VC
2,，,COMMACATEGORY
2,記者,Na
2,去,D
2,信,VK
2,沒有,D
2,取得,VC
2,回應,VC
2,，,COMMACATEGORY
2,爭議,Na
2,延燒,VC
2,再,D
2,加上,VC
2,違規,VA
2,行徑,Na
2,，,COMMACATEGORY
2,恐怕,D
2,風波,Na
2,難以,D
2,平,VH
2,息,Na
2,心得,Na
2,/,FW
2,說明字,Na
2,以上,Ng
2,特,D
2,粉,Na
2,不,D
2,意外,VK
2,原文,Na
2,及,Caa
2,網址,Na
2,連結,VC
2,心得,Na
2,或,Caa
2,意見字,Na
2,不,D
2,含,VC
2,標點符號,Na
10,笑死,VHC
10,這,Nep
10,種,Nf
10,在,P
10,中國,Nc
10,月,Na
10,銷售,VC
10,排行,VG
10,第,Neu
10,名,Nf
10,的,DE
10,車,Na
10,來到,VCL
10,台灣,Nc
10,被,P
10,捧成,VG
10,神,Na
10,代表,VC
10,台灣,Nc
10,韭菜,Na
10,真的,D
10,很,Dfa
10,好,VH
10,割,VC
10,以下,Ncd
10,資料,Na
10,來自,VJ
10,車主,Na
10,之,DE
10,家,Nc
10,銷售榜,Na
10,沒有,D
10,跟,P
10,和,P
10,少數,Neqa
10,進口車,Na
10,之前,Nd
10,查,VE
10,過,Di
10,銷量,Na
10,最,Dfa
10,好,VH
10,的,DE
10,品牌,Na
10,銷售,VC
10,排名,Nv
10,大概,D
10,快,VH
10,左右,Ng
10,所以,Cbb
10,根本,D
10,沒,D
10,差,VH
10,排名,VG
10,車型,Na
10,銷量,Na
10,廠商,Na
10,售價,Na
10,台幣,Na
10,特斯拉,Nb
10,中國,Nc
10,宋,Nd
10,新,VH
10,能源,Na
10,比亞迪,Nb
10,哈弗,Nb
10,長城,Nc
10,汽車,Na
10,長安,Nc
10,長安,Nc
10,汽車,Na
10,本田,Nb
10,東風本田,Nb
10,元比亞迪,Nb
10,瑞虎,Nb
10,奇瑞,Nb
10,汽車,Na
10,繽越,VC
10,吉利,VH
10,汽車,Na
10,榮放,VC
10,汽豐田,Na
10,瑞虎,Nb
10,奇瑞,Nb
10,汽車,Na
10,昂科威,Nb
10,上汽,Nb
10,通用,VJ
10,別克,Nb
10,途觀,Nb
10,上汽,Nb
10,大眾,Nh
10,奔馳,VA
10,北京,Nc
10,奔馳,VA
10,長安,Nc
10,長安,Nc
10,汽車,Na
10,逍客,Na
10,東風,Na
10,日產,A
10,威蘭達,Nb
10,廣汽,Nb
10,豐田,Nb
10,唐新,Nb
10,能源,Na
10,比亞迪,Nb
10,星越,Na
10,吉利,VH
10,汽車,Na
10,紅旗汽,Na
10,紅旗,Na
10,皓影,Nb
10,廣汽,Nb
10,本田,Nb
10,捷途,Nb
10,奇瑞,Nb
10,汽車,Na
10,名爵,Na
10,上汽,Nb
10,名爵,Na
10,奧迪汽,Na
10,大眾,Nh
10,奧迪,Nb
10,博越,Nb
10,吉利,VH
10,汽車,Na
10,途岳,Nb
10,上汽,Nb
10,大眾,Nh
10,寶馬,Na
10,華晨,Nb
10,寶馬,Na
10,廣汽,Nb
10,埃安,Nb
10,瑞虎,Nb
10,奇瑞,Nb
10,汽車,Na
10,繽智,Nb
10,廣汽,Nb
10,本田,Nb
10,哪吒,Nb
10,合眾,Na
10,汽車,Na
10,坦克,Na
10,長城,Nc
10,汽車,Na
10,本田,Nb
10,東風本田,Nb
10,哈弗,Nb
10,大狗,Na
10,長城,Nc
10,汽車,Na
10,長安,Nc
10,歐尚,Nb
10,長安,Nc
10,汽車,Na
10,鋒蘭達,Nb
10,廣汽,Nb
10,豐田,Nb
10,探,VC
10,岳汽,Na
10,大眾,Nh
10,傳祺廣汽,Na
10,乘用,A
10,車,Na
10,卡羅拉,Nb
10,銳,VH
10,放,VC
10,汽豐田,Na
10,理想,VH
10,理想,VH
10,探歌,VA
10,汽,Na
10,大眾,Nh
10,榮威,Nb
10,上汽,Nb
10,集團,Na
10,寶馬,Na
10,華晨,Nb
10,寶馬,Na
10,五菱,Nb
10,星辰,Na
10,上汽,Nb
10,通用,VJ
10,五菱,Nc
10,漢蘭達,Nb
10,廣汽,Nb
10,豐田,Nb
10,東風,Na
10,新,VH
10,能源,Na
10,東風,Na
